FeatID,FeatA,FeatB,FeatC,FeatD,R2,Creg
1287169,NumRotatableBonds,NumHeteroatoms,TDOS1.6,TDOS1.9,0.72,1000
1612163,HOMOm1(eV),LUMO(eV),TDOS4.0,TDOS4.1,0.72,100
4440800,S8,TDOS3.2,TDOS3.9,TDOS4.1,0.72,100
3055618,S3,S4,TDOS3.9,TDOS4.0,0.72,100
4381264,S8,TDOS1.7,TDOS3.9,TDOS4.0,0.72,1000
2298925,T10,S3,S4,TDOS4.0,0.72,1000
1287115,NumRotatableBonds,NumHeteroatoms,TDOS1.5,TDOS1.9,0.72,1000
4368222,S8,O10,TDOS2.1,TDOS3.9,0.72,100
2387881,T10,TDOS1.9,TDOS2.4,TDOS4.0,0.72,100
3206504,S3,TDOS3.6,TDOS4.0,TDOS4.1,0.72,100
1480185,NumHeteroatoms,TDOS1.5,TDOS2.6,TDOS3.9,0.72,100
4393107,S8,TDOS2.0,TDOS3.8,TDOS3.9,0.72,100
1491634,NumHeteroatoms,TDOS1.9,TDOS2.2,TDOS4.0,0.72,100
2695607,S3,O9,SDOS4.1,SDOS4.2,0.72,100
1287223,NumRotatableBonds,NumHeteroatoms,TDOS1.7,TDOS1.9,0.72,1000
696031,T4,S4,O1,SDOS2.6,0.72,1000
4388130,S8,TDOS1.9,TDOS2.2,TDOS3.9,0.72,100
1476948,NumHeteroatoms,FreeEnergy,TDOS2.0,TDOS4.2,0.72,100
696030,T4,S4,O1,SDOS2.5,0.72,1000
681237,T4,T10,S4,SDOS5.2,0.72,1000
2375911,T10,TDOS1.6,TDOS2.3,TDOS4.0,0.72,100
4676500,TDOS2.3,TDOS3.1,TDOS3.3,TDOS4.0,0.72,1000
2392354,T10,TDOS2.0,TDOS3.2,TDOS4.0,0.72,100
7179093,O9,TDOS2.9,TDOS3.4,TDOS3.9,0.72,1000
3460393,S4,TDOS3.7,TDOS3.8,TDOS4.0,0.72,1000
1476947,NumHeteroatoms,FreeEnergy,TDOS2.0,TDOS4.1,0.72,100
3579462,S5,S10,TDOS3.8,TDOS3.9,0.72,100
6120355,TDOS3.2,TDOS4.0,TDOS4.1,TDOS4.3,0.72,100
1476893,NumHeteroatoms,FreeEnergy,TDOS1.9,TDOS4.1,0.72,100
6117438,TDOS3.2,TDOS3.9,TDOS4.1,TDOS4.2,0.72,100
4361518,TDOS2.1,TDOS3.1,TDOS3.2,TDOS4.0,0.72,1000
4388193,S8,TDOS1.9,TDOS2.3,TDOS3.9,0.72,100
1133830,RingCount,HOMOm1(eV),TDOS3.8,TDOS4.0,0.72,100
1215587,RingCount,TDOS3.2,TDOS4.0,TDOS4.1,0.72,100
3829509,S6,S10,TDOS3.8,TDOS3.9,0.72,1000
4356504,S8,O7,TDOS2.4,TDOS3.9,0.72,1000
2160316,LUMOp1(eV),TDOS3.2,TDOS3.9,TDOS4.0,0.72,100
1215588,RingCount,TDOS3.2,TDOS4.0,TDOS4.2,0.72,100
1456534,NumHeteroatoms,LUMOp1(eV),TDOS2.0,TDOS4.0,0.72,1000
4392288,S8,TDOS2.0,TDOS2.5,TDOS3.9,0.72,100
4392162,S8,TDOS2.0,TDOS2.3,TDOS3.9,0.72,100
2371943,T10,TDOS1.5,TDOS2.3,TDOS4.1,0.72,100
4392099,S8,TDOS2.0,TDOS2.2,TDOS3.9,0.72,100
1476872,NumHeteroatoms,FreeEnergy,TDOS1.9,TDOS2.0,0.72,1000
1215262,RingCount,TDOS3.2,TDOS3.4,TDOS4.0,0.72,1000
3309573,S4,S5,TDOS3.8,TDOS4.2,0.72,1000
4384224,S8,TDOS1.8,TDOS2.3,TDOS3.9,0.72,100
3722795,S5,TDOS4.0,TDOS4.5,TDOS4.7,0.72,1000
1515882,NumHeteroatoms,TDOS2.7,TDOS3.9,TDOS4.2,0.72,1000
1512586,NumHeteroatoms,TDOS2.6,TDOS3.2,TDOS4.0,0.72,100
1512964,NumHeteroatoms,TDOS2.6,TDOS3.9,TDOS4.0,0.72,100
1291293,NumRotatableBonds,HOMOm1(eV),TDOS3.8,TDOS3.9,0.72,1000
585051,T3,O2,O6,TDOS1.8,0.72,1000
1290592,NumRotatableBonds,HOMOm1(eV),TDOS2.5,TDOS4.0,0.72,100
1485802,NumHeteroatoms,TDOS1.7,TDOS2.2,TDOS4.0,0.72,100
4940830,S10,TDOS3.2,TDOS3.8,TDOS4.0,0.72,100
1290106,NumRotatableBonds,HOMOm1(eV),TDOS1.6,TDOS4.0,0.72,1000
1290052,NumRotatableBonds,HOMOm1(eV),TDOS1.5,TDOS4.0,0.72,1000
3916892,S6,TDOS2.6,TDOS3.9,TDOS4.1,0.72,100
4340502,S8,O3,TDOS2.2,TDOS3.9,0.72,100
1288489,NumRotatableBonds,NumHeteroatoms,TDOS4.0,TDOS4.3,0.72,1000
1485801,NumHeteroatoms,TDOS1.7,TDOS2.2,TDOS3.9,0.72,1000
4836753,S10,O2,TDOS2.4,TDOS3.9,0.72,100
4420891,S8,TDOS2.7,TDOS3.8,TDOS4.0,0.72,100
1287731,NumRotatableBonds,NumHeteroatoms,TDOS2.6,TDOS4.1,0.72,100
319842,T2,S8,TDOS2.1,TDOS3.9,0.72,100
3916891,S6,TDOS2.6,TDOS3.9,TDOS4.0,0.72,100
1486181,NumHeteroatoms,TDOS1.7,TDOS2.9,TDOS4.1,0.72,1000
3090508,S3,O3,TDOS2.6,TDOS2.8,0.72,1000
1450431,NumHeteroatoms,HOMO(eV),TDOS1.5,TDOS3.9,0.72,100
1450595,NumHeteroatoms,HOMO(eV),TDOS1.8,TDOS4.1,0.72,100
1450485,NumHeteroatoms,HOMO(eV),TDOS1.6,TDOS3.9,0.72,100
4420512,S8,TDOS2.7,TDOS3.2,TDOS3.9,0.72,100
3079117,S3,S10,TDOS3.4,TDOS4.0,0.72,1000
824598,T4,S9,TDOS3.2,TDOS3.9,0.72,100
594396,T3,O4,TDOS3.2,TDOS3.9,0.72,1000
1450486,NumHeteroatoms,HOMO(eV),TDOS1.6,TDOS4.0,0.72,100
1488718,NumHeteroatoms,TDOS1.8,TDOS2.2,TDOS4.0,0.72,100
1494550,NumHeteroatoms,TDOS2.0,TDOS2.2,TDOS4.0,0.72,100
1450540,NumHeteroatoms,HOMO(eV),TDOS1.7,TDOS4.0,0.72,100
587031,T3,O2,TDOS4.1,TDOS4.5,0.72,1000
586023,T3,O2,TDOS2.5,TDOS4.5,0.72,1000
1450541,NumHeteroatoms,HOMO(eV),TDOS1.7,TDOS4.1,0.72,100
4408983,S8,TDOS2.4,TDOS3.8,TDOS3.9,0.72,100
1313972,NumRotatableBonds,SurfaceCharge,TDOS2.6,TDOS3.8,0.72,1000
1311003,NumRotatableBonds,DipoleMoment(Debye),TDOS2.5,TDOS3.9,0.72,100
319779,T2,S8,TDOS2.0,TDOS3.9,0.72,100
319149,T2,S8,O6,TDOS3.9,0.72,100
4690846,S9,TDOS3.2,TDOS3.9,TDOS4.0,0.72,100
1450757,NumHeteroatoms,HOMO(eV),TDOS2.1,TDOS4.1,0.72,100
1287337,NumRotatableBonds,NumHeteroatoms,TDOS1.9,TDOS2.5,0.72,1000
1287336,NumRotatableBonds,NumHeteroatoms,TDOS1.9,TDOS2.4,0.72,1000
1503513,NumHeteroatoms,TDOS2.3,TDOS2.6,TDOS3.9,0.72,1000
4405015,S8,TDOS2.3,TDOS3.8,TDOS4.0,0.72,100
3066517,S3,S7,TDOS2.3,TDOS4.0,0.72,1000
1456682,NumHeteroatoms,LUMOp1(eV),TDOS2.3,TDOS2.6,0.72,100
4618269,S9,O10,TDOS2.1,TDOS3.9,0.72,100
4440735,S8,TDOS3.2,TDOS3.8,TDOS3.9,0.72,100
1287282,NumRotatableBonds,NumHeteroatoms,TDOS1.8,TDOS2.4,0.72,1000
4405014,S8,TDOS2.3,TDOS3.8,TDOS3.9,0.72,100
1482885,NumHeteroatoms,TDOS1.6,TDOS2.2,TDOS3.9,0.72,1000
1287277,NumRotatableBonds,NumHeteroatoms,TDOS1.8,TDOS1.9,0.72,1000
1509400,NumHeteroatoms,TDOS2.5,TDOS2.7,TDOS4.0,0.72,100
1509994,NumHeteroatoms,TDOS2.5,TDOS3.8,TDOS4.0,0.72,100
4440736,S8,TDOS3.2,TDOS3.8,TDOS4.0,0.72,100
2065131,T9,S7,S10,TDOS3.9,0.72,1000
1503406,NumHeteroatoms,TDOS2.3,TDOS2.4,TDOS4.0,0.72,100
2375912,T10,TDOS1.6,TDOS2.3,TDOS4.1,0.72,100
3170720,S3,TDOS2.7,TDOS3.9,TDOS4.1,0.72,100
4690782,S9,TDOS3.2,TDOS3.8,TDOS3.9,0.72,100
1450810,NumHeteroatoms,HOMO(eV),TDOS2.2,TDOS4.0,0.72,100
3078990,S3,S10,TDOS3.2,TDOS3.9,0.72,100
2396323,T10,TDOS2.1,TDOS3.2,TDOS4.0,0.72,100
4690719,S9,TDOS3.2,TDOS3.7,TDOS3.9,0.72,100
1500597,NumHeteroatoms,TDOS2.2,TDOS2.6,TDOS3.9,0.72,100
70867,T1,S8,TDOS3.8,TDOS4.0,0.72,100
1489204,NumHeteroatoms,TDOS1.8,TDOS3.1,TDOS4.0,0.72,1000
1318959,T6,S8,S10,TDOS3.9,0.72,1000
1483101,NumHeteroatoms,TDOS1.6,TDOS2.6,TDOS3.9,0.72,100
69921,T1,S8,TDOS2.3,TDOS3.9,0.72,100
1500652,NumHeteroatoms,TDOS2.2,TDOS2.7,TDOS4.0,0.72,100
1471439,NumHeteroatoms,SurfaceCharge,TDOS2.6,TDOS4.1,0.72,100
1287339,NumRotatableBonds,NumHeteroatoms,TDOS1.9,TDOS2.7,0.72,100
4618332,S9,O10,TDOS2.2,TDOS3.9,0.72,100
6408533,TDOS4.0,SDOS3.1,SDOS3.2,SDOS3.9,0.72,1000
27458,Mass,NumHeteroatoms,TDOS1.6,TDOS2.0,0.72,100
18005,Mass,TPSA,NumHeteroatoms,TDOS1.7,0.72,100
3261,Mass,HAcceptors,TPSA,TDOS1.5,0.72,100
3262,Mass,HAcceptors,TPSA,TDOS1.6,0.72,100
3267,Mass,HAcceptors,TPSA,TDOS2.1,0.72,100
3317,Mass,HAcceptors,RingCount,TDOS1.7,0.72,100
18006,Mass,TPSA,NumHeteroatoms,TDOS1.8,0.72,100
3318,Mass,HAcceptors,RingCount,TDOS1.8,0.72,100
3319,Mass,HAcceptors,RingCount,TDOS1.9,0.72,100
3320,Mass,HAcceptors,RingCount,TDOS2.0,0.72,100
3321,Mass,HAcceptors,RingCount,TDOS2.1,0.72,100
213976,HAcceptors,ChargeCorrection,FreeEnergy,TDOS2.2,0.72,100
3375,Mass,HAcceptors,NumRotatableBonds,TDOS2.1,0.72,100
4102929,TDOS3.1,TDOS4.0,SDOS3.8,SDOS4.6,0.72,1000
3376,Mass,HAcceptors,NumRotatableBonds,TDOS2.2,0.72,100
18004,Mass,TPSA,NumHeteroatoms,TDOS1.6,0.72,100
3429,Mass,HAcceptors,NumHeteroatoms,TDOS2.1,0.72,100
211671,HAcceptors,SurfaceCharge,TDOS2.5,TDOS3.9,0.72,100
209026,HAcceptors,DipoleMoment(Debye),TDOS3.0,TDOS4.0,0.72,1000
3477,Mass,HAcceptors,HOMOm1(eV),TDOS1.5,0.72,100
3478,Mass,HAcceptors,HOMOm1(eV),TDOS1.6,0.72,100
74681,Mass,TDOS1.9,TDOS2.6,TDOS4.7,0.72,100
77542,Mass,TDOS2.0,TDOS2.5,TDOS4.6,0.72,100
18003,Mass,TPSA,NumHeteroatoms,TDOS1.5,0.72,100
3215,Mass,HAcceptors,Rg,TDOS2.3,0.72,100
4073831,TDOS3.1,TDOS3.3,TDOS4.0,SDOS5.4,0.72,1000
3482,Mass,HAcceptors,HOMOm1(eV),TDOS2.0,0.72,100
342622,HDonors,NumHeteroatoms,TDOS2.0,TDOS4.0,0.72,1000
499739,LogP,NumHeteroatoms,FreeEnergy,TDOS1.7,0.72,100
499738,LogP,NumHeteroatoms,FreeEnergy,TDOS1.6,0.72,100
419301,HDonors,TDOS2.9,TDOS3.6,TDOS3.9,0.72,1000
59485,Mass,FreeEnergy,TDOS1.5,TDOS2.5,0.72,1000
4852361,TDOS3.4,TDOS4.0,SDOS2.7,SDOS3.0,0.72,1000
423605,LogP,NumHeteroatoms,O3,O10,0.72,1000
354378,HDonors,LUMOp1(eV),TDOS2.2,TDOS2.4,0.72,100
21579,Mass,RingCount,TDOS1.5,TDOS2.7,0.72,100
345862,HDonors,HOMOm1(eV),TDOS2.6,TDOS4.0,0.72,1000
711343,Rg,SurfaceCharge,T4,O6,0.72,1000
1086601,NumRotatableBonds,NumHeteroatoms,S8,O6,0.72,1000
1390709,HOMOm1(eV),T4,S4,O1,0.72,1000
1852248,TDOS2.2,TDOS4.0,SDOS3.4,SDOS4.0,0.72,1000
59809,Mass,FreeEnergy,TDOS2.1,TDOS2.5,0.72,1000
1250413,NumHeteroatoms,T1,S7,O6,0.72,1000
20925,Mass,RingCount,NumHeteroatoms,TDOS2.1,0.72,100
1294940,NumHeteroatoms,S8,O3,O10,0.72,1000
338765,HDonors,NumRotatableBonds,NumHeteroatoms,TDOS1.7,0.72,1000
1361589,HOMOm1(eV),LUMOp1(eV),T4,O2,0.72,1000
60039,Mass,FreeEnergy,TDOS2.5,TDOS3.9,0.72,1000
333009,HDonors,TPSA,HOMOm1(eV),TDOS3.9,0.72,1000
1369384,HOMOm1(eV),PrimeExcite(osc),T4,S4,0.72,1000
77543,Mass,TDOS2.0,TDOS2.5,TDOS4.7,0.72,100
3483,Mass,HAcceptors,HOMOm1(eV),TDOS2.1,0.72,100
499741,LogP,NumHeteroatoms,FreeEnergy,TDOS1.9,0.72,100
1529752,TDOS2.1,TDOS2.2,TDOS4.1,SDOS4.1,0.72,1000
170236,HAcceptors,Asphericity,FreeEnergy,TDOS2.2,0.72,100
182026,HAcceptors,NumRotatableBonds,TDOS1.6,TDOS4.0,0.72,100
9255,Mass,LogP,NumHeteroatoms,TDOS1.5,0.72,100
1581287,TDOS2.1,TDOS3.5,TDOS4.0,SDOS4.2,0.72,1000
181972,HAcceptors,NumRotatableBonds,TDOS1.5,TDOS4.0,0.72,100
172521,HAcceptors,Rg,NumRotatableBonds,TDOS3.9,0.72,100
4418,Mass,HAcceptors,TDOS2.1,TDOS3.8,0.72,100
181300,HAcceptors,NumRotatableBonds,NumHeteroatoms,TDOS1.6,0.72,1000
1564882,TDOS2.1,TDOS3.1,TDOS3.2,TDOS4.0,0.72,1000
181299,HAcceptors,NumRotatableBonds,NumHeteroatoms,TDOS1.5,0.72,1000
173547,HAcceptors,Rg,TDOS2.1,TDOS3.9,0.72,100
4301,Mass,HAcceptors,TDOS1.9,TDOS2.9,0.72,1000
4421,Mass,HAcceptors,TDOS2.1,TDOS4.1,0.72,100
174631,HAcceptors,Rg,TDOS4.1,TDOS4.3,0.72,100
6340,Mass,HDonors,NumHeteroatoms,TDOS1.6,0.72,100
6339,Mass,HDonors,NumHeteroatoms,TDOS1.5,0.72,100
4567,Mass,HAcceptors,TDOS2.4,TDOS2.5,0.72,100
4568,Mass,HAcceptors,TDOS2.4,TDOS2.6,0.72,100
6243,Mass,HDonors,RingCount,TDOS2.7,0.72,100
4347720,TDOS3.2,TDOS3.9,TDOS4.1,TDOS4.2,0.72,100
5506,Mass,HAcceptors,TDOS4.1,TDOS4.6,0.72,100
1348248,TDOS2.0,TDOS3.9,SDOS3.5,SDOS4.0,0.72,1000
9256,Mass,LogP,NumHeteroatoms,TDOS1.6,0.72,100
182081,HAcceptors,NumRotatableBonds,TDOS1.7,TDOS4.1,0.72,1000
77597,Mass,TDOS2.0,TDOS2.6,TDOS4.7,0.72,100
27459,Mass,NumHeteroatoms,TDOS1.6,TDOS2.1,0.72,100
3485,Mass,HAcceptors,HOMOm1(eV),TDOS2.3,0.72,100
80513,Mass,TDOS2.1,TDOS2.6,TDOS4.7,0.72,100
3486,Mass,HAcceptors,HOMOm1(eV),TDOS2.4,0.72,100
83429,Mass,TDOS2.2,TDOS2.6,TDOS4.7,0.72,100
1602399,TDOS2.1,TDOS4.0,SDOS3.7,SDOS4.9,0.72,1000
3965,Mass,HAcceptors,ChargeCorrection,TDOS1.7,0.72,1000
12172,Mass,Asphericity,NumHeteroatoms,TDOS1.6,0.72,100
3969,Mass,HAcceptors,ChargeCorrection,TDOS2.1,0.72,100
